2018-02-17 00:14:17 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2018-02-17 00:14:17 status half-configured libtasn1-6:amd64 4.2-3+deb8u3
2018-02-17 00:14:17 status installed libtasn1-6:amd64 4.2-3+deb8u3
2018-02-17 00:14:17 configure libgnutls-deb0-28:amd64 3.3.8-6+deb8u7 <none>
2018-02-17 00:14:17 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-02-17 00:14:17 status half-configured libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-02-17 00:14:17 status installed libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-02-17 00:14:17 configure libkeyutils1:amd64 1.5.9-5+b1 <none>
2018-02-17 00:14:17 status unpacked libkeyutils1:amd64 1.5.9-5+b1
2018-02-17 00:14:17 status half-configured libkeyutils1:amd64 1.5.9-5+b1
2018-02-17 00:14:17 status installed libkeyutils1:amd64 1.5.9-5+b1
2018-02-17 00:14:17 configure libkrb5support0:amd64 1.12.1+dfsg-19+deb8u4 <none>
2018-02-17 00:14:17 status unpacked libkrb5support0:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 status half-configured libkrb5support0:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 status installed libkrb5support0:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 configure libk5crypto3:amd64 1.12.1+dfsg-19+deb8u4 <none>
2018-02-17 00:14:17 status unpacked libk5crypto3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 status half-configured libk5crypto3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 status installed libk5crypto3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 configure libkrb5-3:amd64 1.12.1+dfsg-19+deb8u4 <none>
2018-02-17 00:14:17 status unpacked libkrb5-3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 status half-configured libkrb5-3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 status installed libkrb5-3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 configure libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u4 <none>
2018-02-17 00:14:17 status unpacked libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 status unpacked libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 status half-configured libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 status installed libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:17 configure libidn11:amd64 1.29-1+deb8u2 <none>
2018-02-17 00:14:17 status unpacked libidn11:amd64 1.29-1+deb8u2
2018-02-17 00:14:17 status half-configured libidn11:amd64 1.29-1+deb8u2
2018-02-17 00:14:17 status installed libidn11:amd64 1.29-1+deb8u2
2018-02-17 00:14:17 configure libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1 <none>
2018-02-17 00:14:17 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:17 status half-configured libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:17 status installed libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:17 configure libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1 <none>
2018-02-17 00:14:17 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:17 status half-configured libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:17 status installed libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:17 configure libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3 <none>
2018-02-17 00:14:17 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:17 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:17 status half-configured libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:17 status installed libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
